product_term_in_months,rate,effective_at
60,0.0326,2024-01-02 00:00:00 UTC
36,0.0347,2024-01-02 00:00:00 UTC
24,0.0372,2024-01-02 00:00:00 UTC
60,0.0344,2024-01-05 00:00:00 UTC
36,0.0365,2024-01-05 00:00:00 UTC
24,0.0388,2024-01-05 00:00:00 UTC
60,0.0346,2024-01-12 00:00:00 UTC
36,0.0366,2024-01-12 00:00:00 UTC
24,0.039,2024-01-12 00:00:00 UTC
60,0.0364,2024-01-18 00:00:00 UTC
36,0.0384,2024-01-18 00:00:00 UTC
24,0.0406,2024-01-18 00:00:00 UTC
60,0.0352,2024-01-19 00:00:00 UTC
36,0.037,2024-01-19 00:00:00 UTC
24,0.0392,2024-01-19 00:00:00 UTC
60,0.0364,2024-01-26 00:00:00 UTC
36,0.0383,2024-01-26 00:00:00 UTC
24,0.0404,2024-01-26 00:00:00 UTC
60,0.0349,2024-02-02 00:00:00 UTC
36,0.0369,2024-02-02 00:00:00 UTC
24,0.0392,2024-02-02 00:00:00 UTC
60,0.0371,2024-02-05 00:00:00 UTC
36,0.0393,2024-02-05 00:00:00 UTC
24,0.0416,2024-02-05 00:00:00 UTC
60,0.038,2024-02-13 00:00:00 UTC
36,0.0402,2024-02-13 00:00:00 UTC
24,0.0423,2024-02-13 00:00:00 UTC
60,0.0381,2024-02-20 00:00:00 UTC
36,0.0402,2024-02-20 00:00:00 UTC
24,0.0425,2024-02-20 00:00:00 UTC
60,0.0394,2024-02-27 00:00:00 UTC
36,0.0418,2024-02-27 00:00:00 UTC
24,0.0437,2024-02-27 00:00:00 UTC
60,0.0388,2024-03-05 00:00:00 UTC
36,0.0412,2024-03-05 00:00:00 UTC
24,0.0432,2024-03-05 00:00:00 UTC
60,0.0384,2024-03-06 00:00:00 UTC
36,0.0408,2024-03-06 00:00:00 UTC
24,0.043,2024-03-06 00:00:00 UTC
60,0.037,2024-03-13 00:00:00 UTC
36,0.0396,2024-03-13 00:00:00 UTC
24,0.042,2024-03-13 00:00:00 UTC
60,0.0384,2024-03-20 00:00:00 UTC
36,0.0409,2024-03-20 00:00:00 UTC
24,0.0429,2024-03-20 00:00:00 UTC
60,0.0367,2024-03-26 00:00:00 UTC
36,0.0388,2024-03-26 00:00:00 UTC
24,0.0409,2024-03-26 00:00:00 UTC
60,0.0371,2024-04-08 23:00:00 UTC
36,0.0393,2024-04-08 23:00:00 UTC
24,0.0413,2024-04-08 23:00:00 UTC
60,0.0391,2024-04-15 23:00:00 UTC
36,0.0416,2024-04-15 23:00:00 UTC
24,0.0437,2024-04-15 23:00:00 UTC
60,0.0402,2024-04-22 23:00:00 UTC
36,0.0428,2024-04-22 23:00:00 UTC
24,0.0448,2024-04-22 23:00:00 UTC
60,0.0407,2024-04-29 23:00:00 UTC
36,0.0431,2024-04-29 23:00:00 UTC
24,0.045,2024-04-29 23:00:00 UTC
60,0.0401,2024-05-06 23:00:00 UTC
36,0.0425,2024-05-06 23:00:00 UTC
24,0.0444,2024-05-06 23:00:00 UTC
60,0.0379,2024-05-13 23:00:00 UTC
36,0.0402,2024-05-13 23:00:00 UTC
24,0.0423,2024-05-13 23:00:00 UTC
60,0.038,2024-05-20 23:00:00 UTC
36,0.0404,2024-05-20 23:00:00 UTC
24,0.0425,2024-05-20 23:00:00 UTC
60,0.0398,2024-05-28 23:00:00 UTC
36,0.0425,2024-05-28 23:00:00 UTC
24,0.0447,2024-05-28 23:00:00 UTC
60,0.0408,2024-06-03 23:00:00 UTC
36,0.0433,2024-06-03 23:00:00 UTC
24,0.0454,2024-06-03 23:00:00 UTC
60,0.0391,2024-06-10 23:00:00 UTC
36,0.0412,2024-06-10 23:00:00 UTC
24,0.0439,2024-06-10 23:00:00 UTC
60,0.0391,2024-06-11 23:00:00 UTC
36,0.0428,2024-06-11 23:00:00 UTC
24,0.0439,2024-06-11 23:00:00 UTC
60,0.0381,2024-06-17 23:00:00 UTC
36,0.0405,2024-06-17 23:00:00 UTC
24,0.0426,2024-06-17 23:00:00 UTC
60,0.0369,2024-06-24 23:00:00 UTC
36,0.0393,2024-06-24 23:00:00 UTC
24,0.0415,2024-06-24 23:00:00 UTC
